,Movie,Worldwide Lifetime Gross / US$,% Gross in US
30,Cliffhanger,255000211,33.0
31,Baahubali 2: The Conclusion,254158390,7.9
32,Babe,254134910,25.0
33,Men in Black: International,253890701,31.5
34,Wild Hogs,253625427,66.4
35,High School Musical 3: Senior Year,252909177,35.8
36,Hercules,252712101,39.2
37,X-Men: Dark Phoenix,252442974,26.1
38,True Grit,252276927,67.9
39,Dolittle,251410631,30.6
40,Bean,251212670,18.0
41,American Hustle,251171807,59.8
42,Enemy of the State,250849789,44.5
43,You've Got Mail,250821495,46.2
44,Eragon,250425512,30.0
45,Brother Bear,250397798,34.1
46,The Godfather,250341816,54.5
47,The Mask of Zorro,250288523,37.6
48,The Ring,249348933,51.8
49,The Blair Witch Project,248639099,56.5
50,Unbreakable,248118121,38.3
51,The Bad Guys,247825440,39.0
52,Journey to the West: The Demons Strike Back,247585244,0.4
53,Dumb and Dumber,247290327,51.4
54,Glass,246999039,45.0
55,Grown Ups 2,246984278,54.1
56,The Peanuts Movie,246233113,52.9
57,Rango,245724603,50.2
58,Four Weddings and a Funeral,245700832,21.4
59,Face/Off,245676146,45.7
60,Teenage Mutant Ninja Turtles: Out of the Shadows,245623848,33.4
61,Dark Shadows,245527149,32.5
62,Hulk,245285165,53.9
63,Love Actually,245203167,24.4
64,The Bravest,245179562,0.1
65,Welcome to the Sticks,245144417,0.0
66,Back to the Future Part III,245077583,36.0
67,Pixels,244874809,32.2
68,Hercules,244819862,29.7
69,Rush Hour,244721064,57.7
70,Journey to the Center of the Earth,244232688,41.6
71,After Earth,243611982,24.8
72,A Few Good Men,243240178,58.1
73,Cloudy with a Chance of Meatballs,243006126,51.4
74,8 Mile,242875078,48.1
75,Daddy's Home,242786137,61.9
76,RoboCop,242688965,24.2
77,Eraser,242295562,41.8
78,Alien: Covenant,240891763,30.8
79,Sully,240797623,51.9
80,Assassin's Creed,240697856,22.7
81,Click,240685326,57.1
82,Legend of Deification,240663149,0.1
83,Resident Evil: Retribution,240159255,17.6
84,Die Hard 2,240031274,49.0
85,Crocodile Dundee II,239606210,45.6
86,Planes,239258712,37.7
87,Bullet Train,239159633,43.2
88,Crazy Rich Asians,238843729,73.2
89,Batman & Robin,238235719,45.1
90,Howl's Moving Castle,237536126,2.9
91,Gulliver's Travels,237382724,18.0
92,Gone in 60 Seconds,237202299,42.8
93,Saturday Night Fever,237113184,39.7
94,Silver Linings Playbook,236412453,55.9
95,2 Fast 2 Furious,236350661,53.8
96,Hidden Figures,235956898,71.9
97,A.I. Artificial Intelligence,235926552,33.3
98,Dead Poets Society,235860116,40.6
99,Spy,235666219,47.0
100,American Pie,235483004,43.6
